row_Number,text,polarity
17,"[<Sentence: σημειων εξαιτ μεγαλ κινης παρατηρειτα εποχ αυτ εγκαταστας αλιευτ καταφυγιων, συνιστ αυξημεν προσοχ πλοηγης σκαφ ωστε αποφευγ τετοι ειδ ",-1
18,"[<Sentence: αμες σημει μετεβ στελεχ λ.ς.-ελ.ακτ., οπου ηδη παρευρισκ ιατρ κεντρ υγει παξων, οποι διαπιστως θανατ ανωτερ αλλοδαπ ηλικ ",-1
19,"[<Sentence: «ειναι ακριβως ιδι προσεγγιση, οπως εχ δ σχες ηνωμεν βασιλειο, κατηγορ χρον δηλητηριας πρωην πρακτορα, κατοικ λονδινο, λιτβινενκο.>, <Sentence: υπενθυμιζ ρως διπλωμ κατηγορ επιδιδ παρανομ δραστηριοτητες, μεταξυ οποι δωροδοκ αξιωματουχων, κληρικων, μελ πολιτιστ οργανως ακροδεξ οργανωσεων, προκειμεν υποδαυλις εντον αντιδρας κατα συμφων πρεσπων, ονομας πγδμ.>, <Sentence: σημειων πως, δημοσιευμ σαββατο, ανεφερ αλεξανδρουπολ εχ εξελιχθ επικεντρ ρως προσπαθει επεκτας επιρρο νοτιοανατολ ευρωπη, εκαν λογ αποπειρ δωροδοκ «χρηματοδοτηση ακροδεξιων» προκειμεν υποδαυλιστ εντον αντιδρας κατα συμφων πρεσπων, ",-1
20,"[<Sentence: νδ: δος ευρ ενω τοκοχρεολυς ειναι πανω «ο κ. τσιπρ παρισταν κηνσορ ηθικ οφειλ εξηγ πολιτες, οπως επιχειρης εχ αφαιμαξ φορ του, εταιρει ολως τυχαιως ανηκ αδελφ του, κατορθως αποπληρων εν δανει μολις ευρ μηνα, οταν μονον μηνιαι τοκοχρεολυς ειναι ανω ευρω», τονιζ ανακοινως πειραιως.>, <Sentence: «αν μπ κοπ κ. τσιπρας, απαντ κατι ακομη: εταιρει διοδ ειναι ιδι εκειν επιχειρ λαβ δημος εργ ανω εκατομμυρ ευρ περιφερει βορει αιγαι υποβαλλ πλαστ ασφαλιστ ενημεροτητα; επανελθουμε».>, <Sentence: ολοκληρ ανακοινως γραφει τυπ συριζα: «πολιορκημενος θαλασσοδανει κηρυκ χανιων, οικογενειακ θολ οικονομ συναλλαγες, τερατωδ δανεικ αγυριστ νδ, κυριακ μητσοτακ κατεβ αλλ εν σκαλοπατ σκαλ αυτοεξευτελισμου.>, <Sentence: »προανηγγειλε λιγ μερ βουλ λασπ παρηγγειλ εναντ οικογενει πρωθυπουργου, φιλ κουμπαρ του, βαγγελ μαρινακη, γνωστ επιχειρηματ κατηγορουμεν βαρ κακουργηματ πραξεις.>, <Sentence: χειροτερη, ομως, αυτ ειναι βαναυση, ποταπη, χυδαι επιθες λασπης, ιδι εφημεριδα, εναντ του, αρχ δεκαετ νεκρ θει πρωθυπουργου.>, <Sentence: καθε περιπτως π εμας, αλλα μεγαλ πλειοψηφ ελλην πασχιζ αποπληρως χρε τους: που μπορ βρ κι εμεις κοροιδα, «αγνωστων επιχειρηματιων», οπως αυτ χρηματοδοτ ευρ χρεοκοπημεν εταιρει συζυγ του, μπαιν κοπ ρυθμιζουμε, νομιμως, δανει κρις δυσκολεψ αποπληρωσουμε; μηπως μπορ ζητ συζυγ γνωρις εμας;» νδ: πλαστ εγγραφ προνομιακ ρυθμις «οι συνεργατ πρωθυπουργου, αντι εκτιθεντα συντασς ανακοινως λασπης, πεις κ. τσιπρ εξηγ πολιτ γιατι αδελφ δημητρ τσιπρ δικαστ υποβολ πλαστ ασφαλιστ ενημεροτητ εξετις ποιν λογ νομ παρασκευοπουλου», τονιζ αξιωματ αντιπολιτευση.>, <Sentence: οπως παντως αναφερ ανακοινως της, τραπεζ ρυθμιζ ετησιως περισς δισεκατομμυρ ευρ επιχειρηματ προσωπ οφειλων, χρησιμοποι πλειαδ εγκεκριμεν λυσεων, προσωριν μακροπροθεσμ βιωσιμ εξυπηρετης οφειλ παραλληλ ενισχυς ελλην οικονομιας.>, <Sentence: καθε περιπτωση, τραπεζ ξεκαθαριζ υιοθετ ουτε εφαρμοζ ρυθμις ειναι μπορ θεωρ προνομιακ εχ ηδη ξεκιν διαδικας εσωτερ επιθεωρης προκειμεν διερευν πιθαν προελευς στοιχει ",-1
32,"[<Sentence: επιτυχ ακριβ αποτελεσμ μετρης εταιρει επελεξ συνδυασμ αισθητηρ ηλεκτροκαρδιογραφημ φωτοπληθυσμογραφ υπολογιζ αρτηριακ πιες μεσα δευτερολεπτ πιεζ ειδικ πληκτρ επανω οψ «εξυπνου» ",1
39,"[<Sentence: νεκρος τραυματ γαζ εγκαιν αμερικαν πρεσβει ισραηλιν στρατιωτ σκοτως σημερ τουλαχιστον παλαιστιν κατα μηκ συνορ λωριδ γαζας, δηλως αξιωματουχ υπουργει υγει παλαιστινιακ αρχης, καθως διαδηλωτ συνερρευς συνορ ημερ ηνωμεν πολιτει ετοιμαζ ανοιξ πρεσβει ",-1
40,"[<Sentence: sharp τo πρωτ αποκλειστ ανακοινως αντικαταστατ προσφερ κατι εντελως διαφορετ ο,τι εχ συνηθις μεχρι σημερα.>, <Sentence: πακετ τεχνικ χαρακτηριστ συμπληρων ιντς οθονη, αναλογ τεχνολογ μνημ αποθηκευτ χωρ επεκτασιμ εως καρτ τελος, μοντελ ειναι ενισχυμεν συστημ ηχ ενσωματων μπαταρ ερχ σωμ ανθεκτ υγρας ",1
42,"[<Sentence: λιγ ωρ αργ τουλαχιστον παιδ ειχ συγκεντρωθ γυρ αυτοκινητοπομπ νατ κοντ αεροδρομ κανταχαρ, νοτι αφγανισταν, σκοτωθ επιθες αυτοκτονιας.>, <Sentence: δεκαεξ ακομ ανθρωπ τραυματιστηκαν, μεταξυ οποι πεντ ρουμαν στρατιωτ νατ δυο αφγαν αστυνομικοι, οπως διευκρινις εκπροσωπ περιφερειακ κυβερνης σαιντ αζιζ αχμαντ αζιζι.>, <Sentence: «η οχηματοπομπ βρισκ χωρι αμπντουλ κοντ αεροδρομιο, οταν εν βομβιστ αυτοκτον πυροδοτ εκρηκτ εφερ εναντ οχημ γυρ οποι ειχ συγκεντρωθ πολλ παιδια», εξηγησε.>, <Sentence: ισλαμ κρατ ανελαβ ευθυν δυο εκρηξ αφγαν πρωτευουσα, οποι σκοτωθ ανθρωπ τραυματιστ ακομη, συμφων ανωτερ αξιωματ αστυνομ καμπουλ χασματ στανακζαι.>, <Sentence: δημοσιογραφοι, αναμεσα μια ανταποκριτρια, ολ αφγαν πολιτες, σκοτωθ δευτ εκρηξ ωρ περιμεν διπλ κορδελ ασφαλει ειχ τοποθετ αστυνομ μερικ εκατονταδ μετρ μακρ σημει πρωτ ",-1
45,"[<Sentence: τεσσερις γωνι τηλεφων ειναι διαφαν τονιζ ομορφ μοναδικ υλ του, ενω πανελ οθον εισαγ μια ακομ πρωτοτυπια, δυο εγκοπ επανω κατω μερος, θελ αυτον τροπ εταιρει πετυχ μια αισθητ συμμετρια.>, <Sentence: εντυπωσιακ μοντελ συμφων πληροφορ παιρν σελιδ λανσαριστ μετα (αγνωστο δηλαδη ποτε) αγορ ασιας, ευρωπ βορει αμερικης, ενω χρον κατασκευ ",1
50,"[<Sentence: «το βασιλει σαουδ αραβ πρεπ απαντ αμεσα, επισημα, ξεκαθαρις ολ υποθεση… νομιζ εχ γιν αυτ ατασθαλιες» δηλως σταθμ βουλευτ ανελ δημητρ καμμενος, επισει προσοχ ενδεχομεν διπλωματ οξυνς ",-1
54,"[<Sentence: «δεν ξεχας ιουλ επιτρεψ ξεχαστει» δηλως ερντογαν, γευμ παρεθες αγκυρ συγγεν περιπου θυμ αποπειρ πραξικοπηματος.>, <Sentence: τηλεοπτ καναλ μετεδιδ χαρακτηριστ εικον νυχτ ιουλιου, οπως εκκλης απηυθυν τοτε πολιτ ιδι ερντογαν, μες κινητ τηλεφωνου, ζητ αντισταθουν.>, <Sentence: ωστοσο, καταστολ ακολουθησε, συλληψ απολυς δεκαδ χιλιαδ ανθρωπων, προκαλες πολλ ανησυχ ευρωπαικ χωρ οργανως ανθρωπιν ",-1
56,"[<Sentence: χθεσιν επιχειρης υποδιευθυνς αντιμετωπις οργανωμεν εγκλημ εμπορ ανθρωπ διευθυνς ασφαλει αττικης, κεντρ αθηνας, μεσσην μυκονο, συνδρομ τοπ αστυνομ υπηρεσιων, συνεληφθ ατομα, πεντ ελλην οκτω αλλοδαπ γυναικες.>, <Sentence: οπως διαπσιτωθ αστυνομ ερευνα, τουλαχιστον κατα τελευται τριετια, μελ οργανως εντοπιζ γυναικες, κυριως χωρ ανατολ ευρωπης, χρης απατηλ μεσων-υποσχεσεων εξευρες νομιμ εργας επειθ ελθ ελλαδα.>, <Sentence: κατα ερευν εγιν βρεθ κατασχεθ χρηματ ποσα, δυο αυτοκινητα, κινητ τηλεφωνα, πληθ εγγραφ σχετ συναψ εικον γαμων, βεβαιως καταθες αιτης εκδος αδει διαμον ιδιοχειρ ",-1
59,"[<Sentence: μ σημειωσε, ωστοσο, τραμπ συμβουλευς πως, τωρ εχ εμπλακ διαπραγματευσεις, πρεπ αποχωρ αυτες.>, <Sentence: καταληξ συμφων (με εε), μπορ καν αυτ προτεινα, αλλα ειναι ευκολ πραγμα» προσθεσε, χωρις αποκαλυψ «συμβουλη» εδωσε.>, <Sentence: βρεταν κυβερνης εδως πεμπτ δημοσιοτητ «λευκη βιβλο» προτας μελλοντ σχες ηνωμεν βασιλει εε επιθυμ διατηρ στεν σχες βρυξελλες, μεγαλ απογοητευς υποστηρικτ σκληρ λονδιν εχ πολ χρον διαθες εφαρμος σχεδ του: διαπραγματευτ πρεπ καταληξ συμφων μεχρι οκτωβριο, ωστε κοινοβουλ ευρωπαικ χωρων, συμπεριλαμβανομεν βρετανιας, επικυρως μαρτ πηγες: ",0
61,"[<Sentence: ειπ επισης συναντης ρως ηγετ ισως αποδειχθ ευκολ μερ ευρωπαικ περιοδει του.ο μα χαιρετις συνοδ κορυφης, οποι τραμπ θελ θες θεμ μειως πυρην ",0
62,"[<Sentence: γι σωκρατ ελεν κοκκαλ βρεθ νεκρ ξενοδοχει ηπα, οπου βρισκ συναντης αφορ εταιρει οικογενει του, ανακοινως ιδρυμ κοκκαλ αναφερει: «η οικογενει κοκκαλ βαθ θλιψ ανακοινων αιφνιδ θανατ σωκρατ σ. κοκκαλη, ετ κατα διαρκει επαγγελματ ταξιδ κλιβελαντ ηπα, σαββατ ιουλ βρεθ νεκρ δωματ ξενοδοχειου, οπου ",-1
66,"[<Sentence: βεροια: θανασιμ τραυματισμ μοτοσυκλετιστ εν εχας ζω οταν μοτοσικλετ οδηγουσε, αγνωστ μεχρι στιγμ λογους, εξετραπ πορει ",-1
67,"[<Sentence: σωκρατ κοκκαλη, ετυχ σκληρ δοκιμας μπορ τυχ ανθρωπο, ευχ βρ δυναμ αγαπ οικογενει του, κοσμ συμπαραστας ολ μασ.ας εχ καλ ",-1
68,"[<Sentence: ερευν πραγματοποι βρεθ κατασχεθ χρηματ ποσα, δυο αυτοκινητα, κινητ τηλεφωνα, πληθ εγγραφ σχετ συναψ εικον γαμων, βεβαιως καταθες αιτης εκδος αδει διαμον ιδιοχειρ σημειωσεισ.οι συλληφθεντ συλληφθεισες, δικογραφ σχηματιστ βαρ τους, οδηγ αρμοδ εισαγγελ αρχες, ενω συνεχιζ ",-1
69,"[<Sentence: αναφορ εξελιξ σκοπιαν κ. βαρβιτσιωτ εξεφρας εκτιμης βορειοατλαντ συμβουλ νατο, αυτ στιγμ εχ ξεκιν δρομολογ ηδη ενταξ σκοπ αυτο, σταματ καθε ενεργει προσεχ γεναρη, «επειδη φοβ κ. καμμεν αποφασις τοτε αλλαξ αποψ ψηφις συμφωνια, δευτ βαθμο».>, <Sentence: τελ αναφορ προσφυγικο-μεταναστευτικο αρμοδ τομεαρχ νδ επεσημ «πρεπει καποι στιγμ αντιληφθ γιν βορειο-ανατολικο αιγαι συνεχις λειτουργ αλλ αποθηκ ψυχων-μεταναστων ονοματ ολ ",-1
71,"[<Sentence: γεγονοτα, εκειν βραδιας, στοιχ (συμφωνα επισημ τουρκ στοιχεια), -οπως αναφερ αφιερωμ γερμαν δικτυ ζω σχεδον ανθρωπ πυροδοτ συνεχει εν πρωτοφαν κυμ συλληψ απολυς αλλαζ συστημ διακυβερνης χαρακτηρ χωρας.>, <Sentence: σημερα, σκην γεφυρ βοσπορ θυμιζ τιποτα τραγ γεγον συνεβ δυο χρονια.>, <Sentence: μετα αρχ δισταγμ μιλ δημοσια, τελικ τολμαει: “η κυβερνης κρατ ζωνταν μνημ ιουλιου.>, <Sentence: πολλ περισς εχας δουλει τους, ενω περι μεσα ενημερως εξωθ κλεισιμο.>, <Sentence: τουρκ προεδρ ερντογ ειχ καλες τοτε πολιτ βγ δρομ στηριξ αναχαιτιζ πραξικοπηματιες.>, <Sentence: καταστας εκτακτ αναγκ ισχυ τοτε χωρ μπορ αρθ συμφων ερντογ προσεχ εβδομαδα.>, <Sentence: ωστοσο, ανησυχητ επιδεινως τουρκ οικονομ δειχν επιστροφ ομαλοτητ ειναι καθε αλλ παρα ",-1
73,"[<Sentence: οπως δηλως λοιπον προεδρ τραμπ φιλ δημοσιογραφ πιρς μοργκ μεσα κατα συναντης παρασκευ καστρ ουινδσορ βασιλισς ελισαβετ ειπ ειναι εν «πολυ συνθετ προβλημα».>, <Sentence: ερωτημ ομως βασιλισς πηρ θες επι αμερικαν προεδρ απαντ μπορ μιλ ος συζητ μαζ της.>, <Sentence: σημειων δυο διαδοχοι, πριγκιπ ουαλ καρολ δουκ κεμπριτζ γουιλιαμ, κατεστ σαφ συζητης ενοψ επισκεψ ηθελ συμμετασχ υποδοχη, αφην τελικ μον ",0
75,"[<Sentence: αναθεωρ ιστορια”, αναφερ μεταξυ αλλ ομιλ γγ ακελ αντρ κυπριανου, ειδικ ολομελει βουλ καταδικ πραξικοπημ εισβολ αυτους ομιλ «ο μακαρ ειναι ιδιαιτερως επικινδυν τ ελληνοτουρκικ σχεσεις.>, <Sentence: ελλην κυβερνησις εφτας συμπερασμ βασικ προυποθεσις διαρκ δικαι λυς κυπρ ειναι απομακρυνσις μακαρ πολιτ σκηνης.>, <Sentence: αποσπασμ πρακτ συναντης παναγιωτακ τουρκ πρεσβ τουρκμεν μαρτ ειναι εν ακομ τεκμηρ επιβεβαιων εγκλημ βαρ κυπρ ητ προμελετημεν προσχεδιασμενο.>, <Sentence: εγκληματ ενεργει κατα μακαριου, πολιτ δολοφονιες, ανατιναξ αστυνομ σταθμ αλλ κυβερνητ κτιριων, αντικομμουνιστ υστερ τρομοκρατ ητ ημερης διαταξη.>, <Sentence: πραξικοπημ ιουλ εδως τουρκ προσχημ εισβαλ κυπρ παραβιαζ καθε αρχ διεθν δικαιου.>, <Sentence: τωρ ομως οτε κοιν κατεστρωθ μακροπροθεσμ πολιτ χωρ μας, υφιστ υπαλλακτ λυσις διαφορ δυνατοτητες.>, <Sentence: μεγαλ εγκλημ βαρ τοπ συντελεστ γιατι εθνικοφροσυν μισαλλοδοξια, φανατισμ δογματισμ ηθελ αφ λα ζ μονιασμεν γη γεννησε.>, <Sentence: γιατι ενω φλομων λα ψευτ μεγαλ λογια, ητ ταυτοχρον δουρει ιππ υλοποι σχεδ ιμπεριαλισμ βαρ κυπρου.>, <Sentence: τελικ αποβας εγιν πρωτοπαλικαρ γριβ προηγουμεν μερ ανεμιζ καλασνικωφ πανηγυριζ γιατι «επεθανεν μουσκος» ετρεξ κρυφτ μετοπισθεν στελν κυπρ πατριωτ αοπλ προδομεν πρωτ γραμμη.>, <Sentence: σημερα, σαραντατεσσερ χρον μετα, τουρκ διεκδικ συνεπει στοχ της: διχοτομης κυπρου.>, <Sentence: βρισκ συμμαχ χρησιμοποι ιδι παρομοι ρητορ εποχη, προσπαθ πεις ειναι καλ μειν πραγμ εχουν.>, <Sentence: πραγματ πατριωτ ητ αυτ ετρεξ τοτε πρωτ γραμμ ωρ δημοκρατ ελευθερ πατριδ απειλ εδως μαχ τελευται σταγον αιμ τους.>, <Sentence: πραγματ πατριωτ ειναι αυτ επιμεν σηκων λαβωμεν κυπριακ σημαι οραματιζ εν ειρην μελλον κυπρ ολοκληρ ελευθερ ανηκ λα της.>, <Sentence: λυς δικοινοτικης, διζων ομοσπονδ πολιτ ισοτητ οπως αυτ περιγραφ κειμεν ηνωμεν εθνων.>, <Sentence: λυς οδηγ ενωμεν κρατ συνεχει κυπριακ δημοκρατ μια κυριαρχια, διεθν προσωπικοτητ ιθαγενεια.>, <Sentence: τουρκ συνεπει εδω δεκαετ αναπτυσς πολιτ εμβαθυν εξαρτης τουρκοκυπριακ κοινοτητ αγκυρ αποδυναμωνουν.>, <Sentence: σημερ τιμ ποταμ αιμ χυθ κυπριακ γη ελευθερια, δημοκρατ αξιοπρεπει πατριδ λα μας.>, <Sentence: σημερ τιμ χιλιαδ συμπατριωτ ματως πολεμος, προσφυγια, ξεριζωμος, φωτογραφ αγνοουμεν ",-1
78,"[<Sentence: «πιτσιρικας», οπως συνηθιζ φωναζουν, ασχολ αναπτυξ αγορων, αλλα πηρ και… μαθημ κλαδ κατασκευ μες ενασχολης μαζ ετεροθαλ αδελφ του, δημητρ θεοδωριδη, αναμειχθ περισς ενεργ πα ",-1
80,"[<Sentence: ερωτης βασικ διαχωριστ γραμμ επομεν εκλογ υπουργ εσωτερ υποστηριζ «απο μια, ειναι αποψ εκφραζ νδ, οποι θελ εμπεδωθ -και επιδειωκ εδραιωσει- ακραι νεοφιλελευθερ -αγοραια αντιληψ πεδ κοινων οικονομιας» «απο αλλη, ειναι αντιληψ διατυπων συριζ εν νε αναπτυξιακ προγραμμ επαναφορ συλλογ συμβασεων, προστας εργας διασφαλις δημος αγαθων, εκπαιδευσης, υγειας, ρολ αυτοδιοικης εν ξεχωριστ ρολ δημος τομ νε αναπτυξιακ ",0
82,"[<Sentence: μαντζουρανης: δικαστηρ ελαβ αποφας επι ενοχ αρα επεβαλ ποιν αδελφ αλεξ τσιπρ «στην περιπτως δημητρ τσιπρ επιβλ καμ ποιν δικαστηριο, αρα ουδεποτ επεβληθ ποινη, οποι εκτιθ χαρ νομ παρασκευοπουλου, οποι ισχυ αφορ ανεξαιρετως ολ ελλην πολιτ αναφερ ανακοινως δικηγορ του, ιωανν μαντζουρανης, μετα νε ανακοινως νε δημοκρατ υποθες δανει αδερφ πρωθυπουργου..«συνεπως προκειτα φωτογραφ διαταξ οπως αναληθως ισχυριζ γραφει τυπ νε δημοκρατιας», τονιζ δικηγορ δηλως εξεδως αποκαταστας αληθει αποκρους προφανως σκοπιμ διαστρεβλως .αναλυτικα δηλως δικηγορ ιωανν μαντζουρανη:«προς αποκαταστας αληθει αποκρους προφανως σκοπιμ διαστρεβλως πραγματικοτητ επισημαιν επιβλ ποιν εκτιθει, προυποτιθ κηρυξ ενοχ ",0
84,"[<Sentence: βεροια: θανασιμ τραυματισμ αναποδογυρις μοτοσικλετ οδηγ «ειμαι συγκλονισμεν χαμ εν υπεροχ νε ανθρωπ [...] ευγενει ποιοτητ χαρακτηρ του, εκαν ξεχωριστ αγαπητ ολ μας» «στον σωκρατ κοκκαλη, ετυχ σκληρ δοκιμας μπορ τυχ ανθρωπο, ευχ βρ δυναμ αγαπ οικογενει του, κοσμ συμπαραστας ",-1
87,"[<Sentence: κουιζ: μπορ αναγνωρις αυτ κομμεν λωριδ τροφες; καρπουζ ειναι δροσερ φρουτ καλοκαιρ λογ απολαμβαν πρωτ ευκαιρ ειναι κατι ",1
90,"[<Sentence: ιδι μιλ εξηγ γιατι αποχωρ σειρα.εκλεισε εν κυκλ εμενα, υπαρχ κατι παραπαν πω εξηγησω.>, <Sentence: πηρ αποφας συνεχις σειρα, ομως εγω ενιως εχ κατι αλλ προσφερ αυτη.>, <Sentence: μετα πεντ χρον αισθαν εχ κατι καινουρ δως υποκριτικα, αυτ πηρ αποφας ειμαι νε κυκλ της.>, <Sentence: πος ξεκαθαρ πω; υπαρχ παρασκην πισω απ’ αυτο.εχω μυαλ «ορεστη» ρολ ωραι ελεν παιζ ασχολ τιποτα αλλ εδω θεσσαλον ",0
91,"[<Sentence: θανατ βρ κατεχ θες αναπληρωτ διευθυνοντ συμβουλ ομιλ πρωτ επαφ πραγμ ειχ γιν οταν ανελαβ ευθυν ειχ προσφερ υπηρες στελεχ εμπορ τμημ πα ολυμπιακος, ενω εκλεχθ εκτελεστ μελ δς εταιρει σωκρατ ητ μελ δς οικογενειακ ιδρυμ κοκκαλ τιμ παππ πετρ κοκκαλη.τα συλλυπητηρ εξεφρας αναρτης αντιπροεδρ νδ αδωνις γεωργιαδησ.συλλυπητηρια δηλως εκ βουλευτ δημοκρατ συμπαραταξης, ανδρε λοβερδος.«εφυγε ζω εν νε ανθρωπ οικογενει ολυμπιακου.για αδοκητ θανατ σωκρατ σ. κοκκαλ εκφραζ ειλικριν συλλυπητηρ οικογενει του», ",-1
94,"[<Sentence: : χωρ αθωων φωτογραφ διαταξ αδερφ πρωθυπουργου; «αντι συγκεκριμεν απαντησεων, συνεργατ κ. τσιπρ επιχειρ συσκοτις υποθες αφορ αδερφ πρωθυπουργ πετωντας, κατα προσφιλ τακτ λασπη», σημειων ανακοινως νδ, αφορμ δημοσιευμ εφημεριδ σχετ ρυθμις δανει οικογενειακ περιβαλλοντ ",-1
